,V1,V2,isolate,,isolates Q > 0.80,
1,0.048787472,0.951212528,"""CR_Red_1_R1""",,90,0.947368421
2,0.048787592,0.951212408,"""CR_Red_2B_R1""",,,
3,0.048767436,0.951232564,"""CR_Red_3_R1""",,,
4,9.75991E-06,0.99999024,"""Dm13_R1""",,,
5,9.80885E-06,0.999990191,"""Et12_R1""",,,
6,9.8088E-06,0.999990191,"""Et14_R1""",,,
7,0.013468021,0.986531979,"""Et17_R1""",,,
8,9.80861E-06,0.999990191,"""Et18_R1""",,,
9,9.80885E-06,0.999990191,"""Et8_R1""",,,
10,9.78658E-06,0.999990213,"""IN12_4_R1""",,,
11,9.78675E-06,0.999990213,"""IN12_8_3_R1""",,,
12,0.212982428,0.787017572,"""IN12_9_4_R1""",,,
13,0.026057263,0.973942737,"""IN12_9_6_R1""",,,
14,9.73783E-06,0.999990262,"""IN12_PO_3_R1""",,,
15,0.890602803,0.109397197,"""M11_12_R1""",,,
16,0.912301532,0.087698468,"""M13_26_R1""",,,
17,9.77638E-06,0.999990224,"""M16_1_R1""",,,
18,9.79968E-06,0.9999902,"""MISO171_1_R1""",,,
19,9.8E-06,0.9999902,"""MISO171_2_R1""",,,
20,9.79986E-06,0.9999902,"""MISO171_3_R1""",,,
21,9.79986E-06,0.9999902,"""MISO171_4_R1""",,,
22,9.79982E-06,0.9999902,"""MISO171_5_R1""",,,
23,9.80017E-06,0.9999902,"""MISO171_7_R1""",,,
24,9.80017E-06,0.9999902,"""MISO171_8_R1""",,,
25,9.79123E-06,0.999990209,"""MI_SF_10_16_R1""",,,
26,9.80613E-06,0.999990194,"""MI_SF_1_36_R1""",,,
27,9.86397E-06,0.999990136,"""MI_SF_2_16_R1""",,,
28,9.79105E-06,0.999990209,"""MI_SF_9_8_R1""",,,
29,0.036873458,0.963126542,"""MP144_R1""",,,
30,9.72978E-06,0.99999027,"""MP220_R1""",,,
31,0.04883031,0.95116969,"""MP223_R1""",,,
32,0.048805933,0.951194067,"""MP249_R1""",,,
33,0.048801449,0.951198551,"""MP250_R1""",,,
34,0.082964637,0.917035363,"""MP258_R1""",,,
35,9.78313E-06,0.999990217,"""M_15_10_R1""",,,
36,9.78331E-06,0.999990217,"""M_15_11_R1""",,,
37,9.74858E-06,0.999990251,"""M_15_12_R1""",,,
38,9.7481E-06,0.999990252,"""M_15_13_R1""",,,
39,9.74842E-06,0.999990252,"""M_15_14_R1""",,,
40,9.78451E-06,0.999990215,"""M_15_1_R1""",,,
41,9.78319E-06,0.999990217,"""M_15_2_R1""",,,
42,9.78334E-06,0.999990217,"""M_15_3_R1""",,,
43,1.01817E-05,0.999989818,"""M_15_4_R1""",,,
44,9.78329E-06,0.999990217,"""M_15_5_R1""",,,
45,9.78329E-06,0.999990217,"""M_15_6_R1""",,,
46,9.7833E-06,0.999990217,"""M_15_7_R1""",,,
47,9.78325E-06,0.999990217,"""M_15_8_R1""",,,
48,9.78324E-06,0.999990217,"""M_15_9_R1""",,,
49,9.73088E-06,0.999990269,"""Md10_R1""",,,
