,V1 US1AB,V2 US2,V3 COLPR1,V4 COLPR2,isolate,,strongly assigned isolates Q > 0.80,
1,0.007228378,0.992751798,9.91E-06,9.91E-06,"""CR_Red_1_R1""",Q > 0.80,72,0.757894737
2,0.007240335,0.992739841,9.91E-06,9.91E-06,"""CR_Red_2B_R1""",Q > 0.50,89,
3,0.007179122,0.992801054,9.91E-06,9.91E-06,"""CR_Red_3_R1""",,admixed isolates,
4,0.961815703,0.036898462,0.001000307,0.000285528,"""Dm13_R1""",,23,
5,0.90580611,0.090577766,0.002194032,0.001422092,"""Et12_R1""",,,
6,0.905790184,0.09058144,0.002199641,0.001428734,"""Et14_R1""",,,
7,0.417991718,0.581988625,9.83E-06,9.83E-06,"""Et17_R1""",,,
8,0.905894625,0.090552777,0.002123177,0.001429421,"""Et18_R1""",,,
9,0.90580611,0.090577766,0.002194032,0.001422092,"""Et8_R1""",,,
10,0.931659328,0.065681323,0.001661057,0.000998293,"""IN12_4_R1""",,,
11,0.931116489,0.066362447,0.001624585,0.00089648,"""IN12_8_3_R1""",,,
12,0.463196869,0.313703369,0.115046819,0.108052942,"""IN12_9_4_R1""",,,
13,0.92195009,0.063473796,0.008058814,0.0065173,"""IN12_9_6_R1""",,,
14,0.99797306,0.001864379,0.000152584,9.98E-06,"""IN12_PO_3_R1""",,,
15,0.054850038,0.027310029,0.161810699,0.756029235,"""M11_12_R1""",,,
16,0.002266087,0.007310717,0.020988616,0.96943458,"""M13_26_R1""",,,
17,0.945489925,0.052945841,0.001137831,0.000426403,"""M16_1_R1""",,,
18,0.919934927,0.07762148,0.0015762,0.000867392,"""MISO171_1_R1""",,,
19,0.920120784,0.077546175,0.001528994,0.000804048,"""MISO171_2_R1""",,,
20,0.920119736,0.077559385,0.001517019,0.000803859,"""MISO171_3_R1""",,,
21,0.920119736,0.077559385,0.001517019,0.000803859,"""MISO171_4_R1""",,,
22,0.919994477,0.077605162,0.001555596,0.000844766,"""MISO171_5_R1""",,,
23,0.920072617,0.077593616,0.001524286,0.000809482,"""MISO171_7_R1""",,,
24,0.920074313,0.077590154,0.001526328,0.000809205,"""MISO171_8_R1""",,,
25,0.928662844,0.069124586,0.001447583,0.000764987,"""MI_SF_10_16_R1""",,,
26,0.910769893,0.085891459,0.00200687,0.001331777,"""MI_SF_1_36_R1""",,,
27,0.853330114,0.142626896,0.002374127,0.001668864,"""MI_SF_2_16_R1""",,,
28,0.928485793,0.069195403,0.001514944,0.000803861,"""MI_SF_9_8_R1""",,,
29,0.148912742,0.851067484,9.89E-06,9.89E-06,"""MP144_R1""",,,
30,0.999590635,0.000389413,9.98E-06,9.98E-06,"""MP220_R1""",,,
31,0.008027137,0.991953036,9.91E-06,9.91E-06,"""MP223_R1""",,,
32,0.007804084,0.99217609,9.91E-06,9.91E-06,"""MP249_R1""",,,
33,0.00770118,0.992278994,9.91E-06,9.91E-06,"""MP250_R1""",,,
34,0.583626086,0.343910591,0.041602145,0.030861178,"""MP258_R1""",US1B,,
35,0.938018596,0.060097228,0.001295409,0.000588767,"""M_15_10_R1""",,,
36,0.938204735,0.060033262,0.001236474,0.000525529,"""M_15_11_R1""",,,
37,0.975827772,0.023371417,0.000748815,5.20E-05,"""M_15_12_R1""",,,
38,0.976233469,0.023100391,0.000656165,9.98E-06,"""M_15_13_R1""",,,
39,0.976013211,0.023261046,0.000715767,9.98E-06,"""M_15_14_R1""",,,
40,0.936634103,0.061465688,0.001304343,0.000595866,"""M_15_1_R1""",,,
41,0.938255058,0.059977831,0.001238691,0.00052842,"""M_15_2_R1""",,,
42,0.938173607,0.060011879,0.001268494,0.00054602,"""M_15_3_R1""",,,
43,0.71809512,0.281885181,9.85E-06,9.85E-06,"""M_15_4_R1""",,,
44,0.938127983,0.060042587,0.001253056,0.000576373,"""M_15_5_R1""",,,
45,0.938173016,0.060002927,0.001272994,0.000551063,"""M_15_6_R1""",,,
46,0.938133992,0.060000775,0.001287083,0.00057815,"""M_15_7_R1""",,,
47,0.938160569,0.060010615,0.001269198,0.000559618,"""M_15_8_R1""",,,
48,0.938197635,0.060032867,0.001239893,0.000529605,"""M_15_9_R1""",,,
49,0.997390659,0.00250304,9.63E-05,9.98E-06,"""Md10_R1""",,,
50,0.997472195,0.002421298,9.65E-05,9.98E-06,"""Md3_R1""",,,
51,0.997637827,0.00230589,4.63E-05,9.98E-06,"""Md5_R1""",,,
52,0.997490194,0.002405743,9.41E-05,9.98E-06,"""Md6_R1""",,,
53,0.997472195,0.002421298,9.65E-05,9.98E-06,"""Md7_R1""",,,
54,0.007269562,0.992710615,9.91E-06,9.91E-06,"""MpSDSU_R1""",,,
55,0.108367706,0.032483875,0.341762983,0.517385436,"""Mph_21_R1""",,,
56,0.403599102,0.29613243,0.23043157,0.069836898,"""Mph_22_R1""",US1B,,
57,0.403634411,0.296103432,0.230452413,0.069809744,"""Mph_23_R1""",US1B,,
58,0.087035939,0.007352258,0.801040538,0.104571265,"""Mph_24_R1""",,,
59,0.09373023,0.01787788,0.762814312,0.125577578,"""Mph_27_R1""",,,
60,0.110050036,0.028983069,0.381628578,0.479338317,"""Mph_28_R1""",,,
61,0.110050437,0.028983374,0.381632084,0.479334106,"""Mph_35_R1""",,,
62,0.093452878,0.017460253,0.763401903,0.125684966,"""Mph_38_R1""",,,
63,0.089654982,0.012544703,0.783241972,0.114558343,"""Mph_39_R1""",,,
64,0.260300151,0.20426101,0.365387143,0.170051696,"""Mph_40_R1""",,,
65,0.086739706,0.00880832,0.795798021,0.108653953,"""Mph_45_R1""",,,
66,0.088472754,0.01352977,0.785162393,0.112835083,"""Mph_46_R1""",,,
67,0.087042575,0.007361953,0.801020753,0.10457472,"""Mph_48_R1""",,,
68,0.522899031,0.174071512,0.25962905,0.043400408,"""Mph_49_R1""",,,
69,0.011905726,9.78E-06,0.978641296,0.009443201,"""Mph_50_R1""",,,
70,0.011358621,0.008243945,0.841519233,0.138878202,"""Mph_52_R1""",,,
71,0.01135891,0.008249935,0.841507349,0.138883807,"""Mph_53_R1""",,,
72,0.001928523,0.004827024,0.135470633,0.85777382,"""Mph_54_R1""",,,
73,0.001933584,0.004832654,0.135475068,0.857758694,"""Mph_56_R1""",,,
74,0.08286263,0.003729568,0.816272137,0.097135665,"""Mph_5_R1""",,,
