vcf_order,isolate,isolate_vcf,label,location,lon,lat,Region,region_noaa,Location,state,state_country,host,town_resolution,town,field,clade,subclade,Genetic_Cluster,comments,bio18,bio15,bio17,bio10,bio4
1,CR_Red_1 ,CR_Red_1_R1,CR_Red_1_R,"Lamberton, MN",-95.273,44.232,North,Midwest,Midwest US,MN,MN,Soybean,yes,"Lamberton, MN",Unknown,US,US2,US2,,266,51,50,211,11797
2,CR_Red_2B ,CR_Red_2B_R1,CR_Red_2B_,"Lamberton, MN",-95.273,44.232,North,Midwest,Midwest US,MN,MN,Soybean,yes,"Lamberton, MN",Unknown,US,US2,US2,,266,51,50,211,11797
3,CR_Red_3 ,CR_Red_3_R1,CR_Red_3_R,"Lamberton, MN",-95.273,44.232,North,Midwest,Midwest US,MN,MN,Soybean,yes,"Lamberton, MN",Unknown,US,US2,US2,,266,51,50,211,11797
4,Dm13 ,Dm13_R1,Dm13_R1,"Markesan, WI",-88.99,43.707,North,Midwest,Midwest US,WI,WI,Soybean,yes,"Markesan, WI",Unknown,US,US1,US1A,,279,38,95,204,10716
5,Et12 ,Et12_R1,Et12_R1,"E. Troy, WI",-88.405,42.785,North,Midwest,Midwest US,WI,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,,300,34,113,209,10401
6,Et14 ,Et14_R1,Et14_R1,"E. Troy, WI",-88.405,42.785,North,Midwest,Midwest US,WI,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,,300,34,113,209,10401
7,Et17 ,Et17_R1,Et17_R1,"E. Troy, WI",-88.405,42.785,North,Midwest,Midwest US,WI,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US2,US2,,300,34,113,209,10401
8,Et18 ,Et18_R1,Et18_R1,"E. Troy, WI",-88.405,42.785,North,Midwest,Midwest US,WI,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,,300,34,113,209,10401
9,Et8 ,Et8_R1,Et8_R1,"E. Troy, WI",-88.405,42.785,North,Midwest,Midwest US,WI,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,,300,34,113,209,10401
10,IN12_4 ,IN12_4_R1,IN12_4_R1,"Benton, IN",-85.761,41.509,North,Central,Central US,IN,IN,Soybean,yes,"Benton, IN",Unknown,US,US1,US1A,,290,23,156,211,9647
11,IN12_8_3 ,IN12_8_3_R1,IN12_8_3_R,"Lagrange, IN",-85.417,41.642,North,Central,Central US,IN,IN,Soybean,yes,"Lagrange, IN",Unknown,US,US1,US1A,,285,23,157,208,9682
12,IN12_9_4 ,IN12_9_4_R1,IN12_9_4_R,"Vermillion, IN",-87.48,39.851,North,Central,Central US,IN,IN,Soybean,yes,"Vermillion, IN",Unknown,US,US1,NA,,315,22,190,227,9546
13,IN12_9_6 ,IN12_9_6_R1,IN12_9_6_R,"Vermillion, IN",-87.48,39.851,North,Central,Central US,IN,IN,Soybean,yes,"Vermillion, IN",Unknown,US,US1,US1A,,315,22,190,227,9546
14,IN12_PO_3 ,IN12_PO_3_R1,IN12_PO_3_,"Posey, IN",-87.894,38.002,North,Central,Central US,IN,IN,Soybean,yes,"Posey, IN",Unknown,US,US1,US1A,,278,18,226,244,8954
15,M11_12 ,M11_12_R1,M11_12_R1,"Santa Barbara, California",-120.249,34.67,West,West,Strawberry ,CA,CA,Strawberry,yes,"Santa Barbara, California",Unknown,COLPR,COLPR2,COLPR2,,9,94,2,187,3240
16,M13_26 ,M13_26_R1,M13_26_R1,"Monterey, California",-121.287,35.816,West,West,Strawberry ,CA,CA,Strawberry,yes,"Monterey, California",Unknown,COLPR,COLPR2,COLPR2,Strawberry_organic,8,88,3,170,3197
18,M16_1 ,M16_1_R1,M16_1_R1,"1845 Chip Rd, Kawkawlin, MI 48631",-83.963,43.647,North,Midwest,Midwest US,MI,MI,Dry bean,yes,"1845 Chip Rd, Kawkawlin, MI 48631",1,US,US1,US1A,,225,27,121,202,9766
