vcf_order,isolate,isolate_vcf,label_raxml_ng,location_full,lon,lat,Region,region_noaa,region_IPCC,Country,Location,State_Department,Host,municipality_resolution,Municipality,field,clade,subclade,Genetic_Cluster,source,comments,ClimZ_code,ClimZ,description,RGB
1,CR_Red_1,CR_Red_1_R1,CR_Red_1,"Lamberton, MN",-95.304,44.243,North,Midwest,CNA,US,Midwest US,MN,Soybean,yes,"Lamberton, MN",17,US,US2,US2,Dean Malvick - UMN,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
2,CR_Red_2B,CR_Red_2B_R1,CR_Red_2B,"Lamberton, MN",-95.304,44.243,North,Midwest,CNA,US,Midwest US,MN,Soybean,yes,"Lamberton, MN",17,US,US2,US2,Dean Malvick - UMN,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
3,CR_Red_3,CR_Red_3_R1,CR_Red_3,"Lamberton, MN",-95.304,44.243,North,Midwest,CNA,US,Midwest US,MN,Soybean,yes,"Lamberton, MN",17,US,US2,US2,Dean Malvick - UMN,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
4,Dm13,Dm13_R1,Dm13,"Markesan, WI",-88.99,43.707,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"Markesan, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
5,Et12,Et12_R1,Et12,"E. Troy, WI",-88.405,42.785,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
6,Et14,Et14_R1,Et14,"E. Troy, WI",-88.405,42.785,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
7,Et17,Et17_R1,Et17,"E. Troy, WI",-88.405,42.785,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US2,US2,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
8,Et18,Et18_R1,Et18,"E. Troy, WI",-88.405,42.785,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
9,Et8,Et8_R1,Et8,"E. Troy, WI",-88.405,42.785,North,Midwest,ENA,US,Midwest US,WI,Soybean,yes,"E. Troy, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
10,IN12_4,IN12_4_R1,IN12_4,"Benton, IN",-85.761,41.509,North,Central,ENA,US,Central US,IN,Soybean,yes,"Benton, IN",Unknown,US,US1,US1A,Purdue Plant Diag. Lab. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
11,IN12_8_3,IN12_8_3_R1,IN12_8_3,"Lagrange, IN",-85.417,41.642,North,Central,ENA,US,Central US,IN,Soybean,yes,"Lagrange, IN",Unknown,US,US1,US1A,Purdue Plant Diag. Lab. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
12,IN12_9_4,IN12_9_4_R1,IN12_9_4,"Vermillion, IN",-87.48,39.851,North,Central,ENA,US,Central US,IN,Soybean,yes,"Vermillion, IN",Unknown,US,US1,NA,Purdue Plant Diag. Lab. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
13,IN12_9_6,IN12_9_6_R1,IN12_9_6,"Vermillion, IN",-87.48,39.851,North,Central,ENA,US,Central US,IN,Soybean,yes,"Vermillion, IN",Unknown,US,US1,US1A,Purdue Plant Diag. Lab. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
14,IN12_PO_3,IN12_PO_3_R1,IN12_PO_3,"Posey, IN",-87.894,38.002,North,Central,ENA,US,Central US,IN,Soybean,yes,"Posey, IN",Unknown,US,US1,US1A,Purdue Plant Diag. Lab. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
15,M11_12,M11_12_R1,M11_12,"Santa Barbara, California",-120.434,34.951,West,West,WNA,US,West US,CA,Strawberry,yes,"Santa Barbara, CA",Unknown,COLPR,COLPR2,COLPR2,Frank Martin,,9,Csb,"Temperate, dry summer, warm summer",[200 200 0]
16,M13_26,M13_26_R1,M13_26,"Monterey, California",-121.612,36.674,West,West,WNA,US,West US,CA,Strawberry,yes,"Monterey, CA",Unknown,COLPR,COLPR2,COLPR2,Frank Martin ,Strawberry_organic,9,Csb,"Temperate, dry summer, warm summer",[200 200 0]
18,M16_1,M16_1_R1,M16_1,"1845 Chip Rd, Kawkawlin, MI 48631",-83.963,43.647,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Kawkawlin, MI",1,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
19,MISO171_1,MISO171_1_R1,MISO171_1,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
20,MISO171_2,MISO171_2_R1,MISO171_2,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
21,MISO171_3,MISO171_3_R1,MISO171_3,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
22,MISO171_4,MISO171_4_R1,MISO171_4,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
23,MISO171_5,MISO171_5_R1,MISO171_5,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
