"","vcf_order","isolate","isolate_vcf","label_raxml","location","lon","lat","Region","region_noaa","region_IPCC","Country","Location","State_Department","Host","municipality_resolution","Municipality","field","clade","subclade","Genetic_Cluster","source","comments","google_maps","rndCoord.lon","rndCoord.lat","ClimateZ","ClimateZ.1"
"1",1,"CR_Red_1 ","CR_Red_1_R1","CR_Red_1_R","Lamberton, MN",-95.304,44.243,"North","Midwest","CNA","US","Midwest US","MN","Soybean","yes","Lamberton, MN","Unknown","US","US2","US2","Dean Malvick - UMN","","https://www.google.com/maps/place/U+of+Mn+Southwest+Research/@44.2356095,-95.3232646,1848m/data=!3m1!1e3!4m22!1m16!4m15!1m6!1m2!1s0x878b2659d29beac3:0x7f2c3ab178f575c6!2sLamberton,+MN!2m2!1d-95.2641639!2d44.2310676!1m6!1m2!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!2sU+of+Mn+Southwest+Research,+23669+130th+St,+Lamberton,+MN+56152!2m2!1d-95.3174344!2d44.2396871!3e2!3m4!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!8m2!3d44.2396871!4d-95.3174344",-95.2916666666667,44.2361111111111,"Dfa",25
"2",2,"CR_Red_2B ","CR_Red_2B_R1","CR_Red_2B_","Lamberton, MN",-95.304,44.243,"North","Midwest","CNA","US","Midwest US","MN","Soybean","yes","Lamberton, MN","Unknown","US","US2","US2","Dean Malvick - UMN","","https://www.google.com/maps/place/U+of+Mn+Southwest+Research/@44.2356095,-95.3232646,1848m/data=!3m1!1e3!4m22!1m16!4m15!1m6!1m2!1s0x878b2659d29beac3:0x7f2c3ab178f575c6!2sLamberton,+MN!2m2!1d-95.2641639!2d44.2310676!1m6!1m2!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!2sU+of+Mn+Southwest+Research,+23669+130th+St,+Lamberton,+MN+56152!2m2!1d-95.3174344!2d44.2396871!3e2!3m4!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!8m2!3d44.2396871!4d-95.3174344",-95.2916666666667,44.2361111111111,"Dfa",25
"3",3,"CR_Red_3 ","CR_Red_3_R1","CR_Red_3_R","Lamberton, MN",-95.304,44.243,"North","Midwest","CNA","US","Midwest US","MN","Soybean","yes","Lamberton, MN","Unknown","US","US2","US2","Dean Malvick - UMN","","https://www.google.com/maps/place/U+of+Mn+Southwest+Research/@44.2356095,-95.3232646,1848m/data=!3m1!1e3!4m22!1m16!4m15!1m6!1m2!1s0x878b2659d29beac3:0x7f2c3ab178f575c6!2sLamberton,+MN!2m2!1d-95.2641639!2d44.2310676!1m6!1m2!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!2sU+of+Mn+Southwest+Research,+23669+130th+St,+Lamberton,+MN+56152!2m2!1d-95.3174344!2d44.2396871!3e2!3m4!1s0x878b272ab661ba4f:0xd0b1d6f72fc995ba!8m2!3d44.2396871!4d-95.3174344",-95.2916666666667,44.2361111111111,"Dfa",25
"4",4,"Dm13 ","Dm13_R1","Dm13_R1","Markesan, WI",-88.99,43.707,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","Markesan, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-88.9861111111111,43.7083333333333,"Dfb",25
"5",5,"Et12 ","Et12_R1","Et12_R1","E. Troy, WI",-88.405,42.785,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","E. Troy, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-88.4027777777778,42.7916666666667,"Dfa",25
"6",6,"Et14 ","Et14_R1","Et14_R1","E. Troy, WI",-88.405,42.785,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","E. Troy, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-88.4027777777778,42.7916666666667,"Dfa",25
"7",7,"Et17 ","Et17_R1","Et17_R1","E. Troy, WI",-88.405,42.785,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","E. Troy, WI","Unknown","US","US2","US2","T. Hughes. Obtained from Kiersten Wise","","",-88.4027777777778,42.7916666666667,"Dfa",25
"8",8,"Et18 ","Et18_R1","Et18_R1","E. Troy, WI",-88.405,42.785,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","E. Troy, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-88.4027777777778,42.7916666666667,"Dfa",25
"9",9,"Et8 ","Et8_R1","Et8_R1","E. Troy, WI",-88.405,42.785,"North","Midwest","ENA","US","Midwest US","WI","Soybean","yes","E. Troy, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-88.4027777777778,42.7916666666667,"Dfa",25
"10",10,"IN12_4 ","IN12_4_R1","IN12_4_R1","Benton, IN",-85.761,41.509,"North","Central","ENA","US","Central US","IN","Soybean","yes","Benton, IN","Unknown","US","US1","US1A","Purdue Plant Diag. Lab. Obtained from Kiersten Wise","","",-85.7638888888889,41.5138888888889,"Dfa",25
